CUSTOMER,MARKET SEGMENT,ASSET TYPE,PROJECT,REF CODE,DEPARTMENT,ACTIVITIES,January,February,March,April,May,June,July,August,September,October,November,December,Sum,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Market segment,Asset type,Total working hours,,,,,,,,,,,,,,,
,,,,,,,,,,,Upstream,FPSO,"10,797",,,,,,,,,,,,,,,
,,,,,,,,,,,,Jacket/Platform,"1,754",,,,,,,,,,,,,,,
,,,,,,,,,,,,TLP,"6,088",,,,,,,,,,,,,,,
,,,,,,,,,,,Downstream,SMR,"2,681",,,,,,,,,,,,,,,
,,,,,,,,,,,,Reactor (HCU),0,,,,,,,,,,,,,,,
,,,,,,,,,,,,Tanks,204,,,,,,,,,,,,,,,
,,,,,,,,,,,,Coker,"3,247",,,,,,,,,,,,,,,
,,,,,,,,,,,Renewables,Wind - Blades,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,Hydro,368,,,,,,,,,,,,,,,
,,,,,,,,,,,,Solar - Floating,504,,,,,,,,,,,,,,,
,,,,,,,,,,,,Wind - Floating,"6,723",,,,,,,,,,,,,,,
,,,,,,,,,,,,Wind - Fixed,"1,838",,,,,,,,,,,,,,,
,,,,,,,,,,,,Wind Narcelle,843,,,,,,,,,,,,,,,
,,,,,,,,,,,Industrials,Pump,"1,168",,,,,,,,,,,,,,,
